,Name,Link2,Link,Code,happy,sad,surprise,fear,disgust,angry,neutral
29,Tenu Na Bol Pawaan ,https://www.youtube.com/watch?v=Pz8Q61LAmeE,https://www.youtube.com/embed/Pz8Q61LAmeE,Pz8Q61LAmeE,1,0,0,0,1,0,1
30,Ranjha ,https://www.youtube.com/watch?v=H2U6Ce5e8MQ,https://www.youtube.com/embed/H2U6Ce5e8MQ,H2U6Ce5e8MQ,1,0,1,0,0,0,1
31,Humdard ,https://www.youtube.com/watch?v=st1gBSePIfg,https://www.youtube.com/embed/st1gBSePIfg,st1gBSePIfg,0,1,0,1,1,0,0
32,AAPKA KYA HOGA (DHANNO) ,https://www.youtube.com/watch?v=cSoSas9o2oE,https://www.youtube.com/embed/cSoSas9o2oE,cSoSas9o2oE,1,0,1,0,1,0,0
33,HAR KISI KO (Boss),https://www.youtube.com/watch?v=DTOshzP5BEQ,https://www.youtube.com/embed/DTOshzP5BEQ,DTOshzP5BEQ,1,0,1,0,1,0,1
34,"Humnava (From ""Hamari Adhuri Kahani"") ",https://www.youtube.com/watch?v=CsQqGDpo8Hg,https://www.youtube.com/embed/CsQqGDpo8Hg,CsQqGDpo8Hg,1,0,0,0,1,1,1
35,SOCH NA SAKE (Airlift),https://www.youtube.com/watch?v=hp02FwlpQYU,https://www.youtube.com/embed/hp02FwlpQYU,hp02FwlpQYU,1,0,0,0,1,1,1
36,MAST MAGAN ,https://www.youtube.com/watch?v=InD68CDGT9Q,https://www.youtube.com/embed/InD68CDGT9Q,InD68CDGT9Q,1,0,0,0,1,1,1
37,Tujhe Bhula Diya ,https://www.youtube.com/watch?v=o-9VdyXZKsQ,https://www.youtube.com/embed/o-9VdyXZKsQ,o-9VdyXZKsQ,0,1,0,1,1,0,0
38,Tera Hone Laga Hoon ,https://www.youtube.com/watch?v=oeYgD5w3NQo,https://www.youtube.com/embed/oeYgD5w3NQo,oeYgD5w3NQo,1,0,0,0,0,1,1
39,Jogi ,https://www.youtube.com/watch?v=D78UzqpxIQU,https://www.youtube.com/embed/D78UzqpxIQU,D78UzqpxIQU,1,0,0,0,0,1,1
40,Thoda Thoda Pyaar ,https://www.youtube.com/watch?v=NoucUuveKJ8,https://www.youtube.com/embed/NoucUuveKJ8,NoucUuveKJ8,1,0,1,0,1,1,1
41,"Enna Sona (From ""OK Jaanu"") ",https://www.youtube.com/watch?v=8dlTXzaP_8Q,https://www.youtube.com/embed/8dlTXzaP_8Q,8dlTXzaP_8Q,1,0,1,0,0,1,1
42,Main Dhoondne Ko Zamaane Mein ,https://www.youtube.com/watch?v=FQyKzz3NFcc,https://www.youtube.com/embed/FQyKzz3NFcc,FQyKzz3NFcc,0,1,0,1,0,0,0
43,Naino Ne Baandhi ,https://www.youtube.com/watch?v=hsxufO5sIQs,https://www.youtube.com/embed/hsxufO5sIQs,hsxufO5sIQs,1,0,0,0,0,1,1
44,AAJ DIN CHADHEYA | Love Aaj Kal | ,https://www.youtube.com/watch?v=YSWMbwQuWAY,https://www.youtube.com/embed/YSWMbwQuWAY,YSWMbwQuWAY,1,0,1,0,1,1,1
45,Jaan 'Nisaar (Arijit) ,https://www.youtube.com/watch?v=3HlzLiCL9Xs,https://www.youtube.com/embed/3HlzLiCL9Xs,3HlzLiCL9Xs,1,0,0,0,1,1,1
46,Tera Chehra | Sanam Teri Kasam ,https://www.youtube.com/watch?v=o6MPAXnCm4o,https://www.youtube.com/embed/o6MPAXnCm4o,o6MPAXnCm4o,1,0,0,0,1,1,1
47,Jaan Ban Gaye ,https://www.youtube.com/watch?v=82P9aa28DoE,https://www.youtube.com/embed/82P9aa28DoE,82P9aa28DoE,1,0,0,0,0,1,1
