S. No,Name,Link2,Link,Code,happy,sad,surprise,fear,disgust,angry,neutral,,
56,BANJAARA ,https://www.youtube.com/watch?v=_eZnQzneuKs,https://www.youtube.com/embed/_eZnQzneuKs,_eZnQzneuKs,1,1,0,1,0,0,1,,
57,"Raataan Lambiyan (From ""Shershaah"") ",https://www.youtube.com/watch?v=Dm6YRJHy64c,https://www.youtube.com/embed/Dm6YRJHy64c,Dm6YRJHy64c,1,0,1,0,1,1,1,,
58,Pani Da Rang | Full Song With Lyrics | Vicky Donor | Ayushmann Khurrana & Yami Gautam ,https://www.youtube.com/watch?v=2kgEc6oH9J0,https://www.youtube.com/embed/2kgEc6oH9J0,2kgEc6oH9J0,1,0,1,0,1,1,1,,
59,TERE MAST MAST DO NAIN ,https://www.youtube.com/watch?v=Mz2yP0A3t4o,https://www.youtube.com/embed/Mz2yP0A3t4o,Mz2yP0A3t4o,1,0,1,0,0,0,0,,
60,Tum Se Hi,https://www.youtube.com/watch?v=I94fhjQ-U30,https://www.youtube.com/embed/I94fhjQ-U30,I94fhjQ-U30,1,0,1,0,1,1,1,,
61,Kuch Is Tarah,https://www.youtube.com/watch?v=E74V-X9AtAg,https://www.youtube.com/embed/E74V-X9AtAg,E74V-X9AtAg,1,0,0,0,0,1,1,,
62,"Falak Tak | Tashan | Akshay Kumar, Kareena Kapoor, Udit Narayan, Mahalaxmi Iyer, Vishal-Shekhar ",https://www.youtube.com/watch?v=vr8RaNuWjWc,https://www.youtube.com/embed/vr8RaNuWjWc,vr8RaNuWjWc,1,0,1,0,0,1,1,,
63,YE TUNE KYA KIYA ,https://www.youtube.com/watch?v=jcAn44985E0,https://www.youtube.com/embed/jcAn44985E0,jcAn44985E0,1,0,1,0,1,0,0,,
64,MEHERBANI | The Shaukeens | Akshay Kumar | Arko | Jubin ,https://www.youtube.com/watch?v=kDgBQFbwX2Y,https://www.youtube.com/embed/kDgBQFbwX2Y,kDgBQFbwX2Y,1,0,0,0,0,1,1,,
65,Main Koi Aisa Geet Gaoon ,https://www.youtube.com/watch?v=vDCnew2uhT4,https://www.youtube.com/embed/vDCnew2uhT4,vDCnew2uhT4,1,0,1,0,1,1,1,,
66,Main Rang Sharbaton Ka ,https://www.youtube.com/watch?v=cE4atI_v-Z0,https://www.youtube.com/embed/cE4atI_v-Z0,cE4atI_v-Z0,1,0,1,0,0,1,1,,
67,"Moh Moh Ke Dhaage | Lyrical Song | Dum Laga Ke Haisha | Ayushmann, Bhumi | Monali | Anu Malik, Varun ",https://www.youtube.com/watch?v=JbDktrsnH40,https://www.youtube.com/embed/JbDktrsnH40,JbDktrsnH40,1,0,0,0,1,1,1,,
68,"Jashn-E-Bahaaraa (From ""Jodhaa Akbar"") ",https://www.youtube.com/watch?v=tlZO7G-D0mg,https://www.youtube.com/embed/tlZO7G-D0mg,tlZO7G-D0mg,1,0,1,0,1,0,0,,
69,Yeh Raaten Yeh Mausam | Sanam ft. Simran Sehgal ,https://www.youtube.com/watch?v=4HRC6c5-2lQ,https://www.youtube.com/embed/4HRC6c5-2lQ,4HRC6c5-2lQ,1,0,0,0,0,1,1,,
70,Chaar Kadam' | PK | Sushant Singh Rajput | Anushka Sharma | T-series ,https://www.youtube.com/watch?v=WKbwopSXLWU,https://www.youtube.com/embed/WKbwopSXLWU,WKbwopSXLWU,1,0,1,0,1,0,1,,
71,Jeena Jeena,https://www.youtube.com/watch?v=rF6P-qgd3Po,https://www.youtube.com/embed/rF6P-qgd3Po,rF6P-qgd3Po,0,1,0,1,1,0,0,,
72,Jadu Hai Nasha Hai ,https://www.youtube.com/watch?v=Iwa0Z9roM7g,https://www.youtube.com/embed/Iwa0Z9roM7g,Iwa0Z9roM7g,1,0,1,0,1,0,1,,
73,Ishq Bulaava ,https://www.youtube.com/watch?v=ZCRL8V0ZkEA,https://www.youtube.com/embed/ZCRL8V0ZkEA,ZCRL8V0ZkEA,1,0,1,0,0,0,1,,
74,Rabba Mehar Kari | Darshan Raval | Youngveer | Aditya D | Tru Makers | Indie Music ,https://www.youtube.com/watch?v=7zEx0AJguSM,https://www.youtube.com/embed/7zEx0AJguSM,7zEx0AJguSM,1,0,1,0,1,0,0,,
75,Namo Namo - Lyrical | Kedarnath | Sushant Rajput | Sara Ali Khan | Amit Trivedi | Amitabh B ,https://www.youtube.com/watch?v=dx4Teh-nv3A,https://www.youtube.com/embed/dx4Teh-nv3A,dx4Teh-nv3A,1,0,1,0,0,1,1,,
76,Uska Hi Banana ,https://www.youtube.com/watch?v=hmsebjbRb1k,https://www.youtube.com/embed/hmsebjbRb1k,hmsebjbRb1k,1,1,1,1,0,0,0,,
77,Dil Kyun Yeh Mera Shor Kare (Kites),https://www.youtube.com/watch?v=P6X9x3jE_bM,https://www.youtube.com/embed/P6X9x3jE_bM,P6X9x3jE_bM,1,0,0,0,0,1,1,,
78,Jab Se Tere naina,https://www.youtube.com/watch?v=bfUhkXFNIig,https://www.youtube.com/embed/bfUhkXFNIig,bfUhkXFNIig,1,0,1,0,1,1,1,,
79,Zindagi Kuch Toh Bata (Reprise) Full Song with LYRICS Pritam | Salman Khan | Bajrangi Bhaijaan ,https://www.youtube.com/watch?v=ITyHqStTDeg,https://www.youtube.com/embed/ITyHqStTDeg,ITyHqStTDeg,1,0,1,0,1,1,1,,
80,Ek Pyar Ka Nagma | Sanam ,https://www.youtube.com/watch?v=eVv8rcMEMuM,https://www.youtube.com/embed/eVv8rcMEMuM,eVv8rcMEMuM,1,0,0,0,0,1,1,,
81,"Tu Na Jaane Aas Paas Hai Khuda Full HD Song | Anjaana Anjaani | Priyanka Chopra, Ranbir Kapoor ",https://www.youtube.com/watch?v=jAUSF4_ygJg,https://www.youtube.com/embed/jAUSF4_ygJg,jAUSF4_ygJg,1,0,0,1,1,0,0,,
82,"I love you (Full song) Bodyguard feat. Salman khan, Kareena Kapoor ",https://www.youtube.com/watch?v=0JLRExeOH-k,https://www.youtube.com/embed/0JLRExeOH-k,0JLRExeOH-k,1,0,0,0,0,1,1,,
83,"Aaoge Jab Tum | Jab We Met | Kareena Kapoor, Shahid Kapoor | Ustad Rashid Khan ",https://www.youtube.com/watch?v=CNZMIhckaA0,https://www.youtube.com/embed/CNZMIhckaA0,CNZMIhckaA0,0,1,0,1,1,0,1,,
84,"Roke Na Ruke Naina Lyrical Video | Arijit Singh | Varun, Alia | Amaal Mallik""Badrinath Ki Dulhania"" ",https://www.youtube.com/watch?v=HyLCgkQtluw,https://www.youtube.com/embed/HyLCgkQtluw,HyLCgkQtluw,0,1,1,1,0,0,0,,
85,"Mar Jaayen  | Loveshhuda | Girish, Navneet | Atif, Mithoon ",https://www.youtube.com/watch?v=fVZuAgPJuW4,https://www.youtube.com/embed/fVZuAgPJuW4,fVZuAgPJuW4,1,0,0,0,1,0,1,,
86,"Dil Meri Na Sune Lyrical - Genius | Utkarsh, Ishita | Atif Aslam | Himesh Reshammiya | Manoj ",https://www.youtube.com/watch?v=YZLKoG_vhDY,https://www.youtube.com/embed/YZLKoG_vhDY,YZLKoG_vhDY,1,0,0,0,0,1,1,,
